theta0,theta1,theta2,phi0,phi1,phi2,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
-0.051979459788405125,-0.4153607124880795,-0.26255196620026755,1.08128773900578,0.975005773234984,1.12393933345835,-0.022594617238130905,0.010614179645496158,0.6323523142335397,0.21807871561932096,0.3433888640516431,0.913523815693466
0.12345850232011135,0.10087838873966659,0.25844978307539723,1.12769162593424,1.12680125790354,1.08719967708002,0.0021035898199976235,-0.0023250499304069416,1.057076878362002,0.13716029233399246,-0.052839453500310656,0.9891385374964634
0.023972055089184763,0.24487759738520898,0.04804075004576591,1.1308020782987,1.07947775593959,1.13601836820659,-0.006322161821066707,-0.0017862178089064578,1.0026196165669914,-0.16916325011422875,-0.12799118372169088,0.97724206402524
-0.26988111103215773,-0.35166023097420485,0.13644442227586284,1.12419130494064,1.02327478709782,1.00857168013845,0.018590912802977384,-0.03195552531292881,0.7089183238733797,0.4727323118827423,-0.1275076363458139,0.8719323161665138
-0.18315744767733733,0.3886780797511492,0.008807365346615192,1.01668052161648,0.949943819650452,1.18114047534072,-0.03675074495213345,0.021993223459938187,0.9314754223900943,-0.2585011537710383,-0.4559528569572794,0.8516361580695929
-0.03967742244626826,-0.06508834943006891,-0.03597413655239323,1.13362274165075,1.13159027127669,1.13364445610011,-0.00011247292308547152,-0.00010506088802749354,0.8587756035128479,0.0299475959730561,0.01300651215478977,0.9994668439408092
0.31269145959258826,0.10132758707241563,-0.026807541394448187,1.04659761415558,1.144060009978,1.10480526547175,0.01159791331041915,0.007722533977630859,1.017131360069518,-0.14490334189132062,0.2705716502668086,0.9517321070451615
-0.16887994953525443,-0.3447697240628065,0.02362620606814958,1.1452719690477,1.0002561718171,1.08851197210759,-0.005113862424083182,-0.0246034956605042,0.7186450739617251,0.40593234392704836,0.041740677965589335,0.9129494224527804
-0.16944647551720027,-0.31223107421236673,-0.09641089370779565,1.12632337964052,1.05238718010201,1.11845467318785,-0.00424946685291309,-0.008042958813415288,0.6995970229487337,0.24173854804618938,0.05993521626277809,0.9684886391899773
-0.3475069372226559,-0.343356576307715,0.3824501066196706,1.06414113485373,1.07215942543298,0.801844902789204,0.05868080824926003,-0.032005656041182294,0.7224127248325193,0.5502492915330592,-0.326656247068772,0.7684539110566826
